"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Jan-2025","EQ","773.90","785.50","772.25","774.35","779.90","779.75","779.92","1,179.00","717.70","70,07,239","5,46,50,86,692.60","1,46,024"
"16-Jan-2025","EQ","769.90","781.00","767.35","763.60","775.45","774.35","775.08","1,179.00","717.70","86,80,163","6,72,77,85,831.25","1,91,171"
"15-Jan-2025","EQ","771.00","785.00","756.05","770.50","763.00","763.60","766.16","1,179.00","717.70","1,05,00,910","8,04,54,21,842.20","2,49,215"
"14-Jan-2025","EQ","751.50","779.00","751.50","751.00","772.30","770.50","772.37","1,179.00","717.70","1,13,77,053","8,78,72,40,473.25","2,77,895"
"13-Jan-2025","EQ","769.00","773.55","748.80","774.65","750.60","751.00","760.91","1,179.00","717.70","1,22,30,175","9,30,61,20,971.50","3,05,264"
"10-Jan-2025","EQ","780.05","787.95","766.80","780.10","776.50","774.65","778.29","1,179.00","717.70","1,11,44,005","8,67,32,68,253.45","2,74,052"
"09-Jan-2025","EQ","800.00","810.00","769.45","794.95","781.40","780.10","784.85","1,179.00","717.70","1,79,48,464","14,08,69,40,933.35","3,66,805"
"08-Jan-2025","EQ","792.60","797.00","781.65","793.25","795.50","794.95","789.86","1,179.00","717.70","1,18,61,066","9,36,86,07,134.30","2,55,679"
"07-Jan-2025","EQ","776.00","796.95","772.50","776.25","792.50","793.25","787.61","1,179.00","717.70","1,55,47,971","12,24,56,78,232.50","3,14,304"
"06-Jan-2025","EQ","797.70","797.70","765.30","790.40","776.00","776.25","783.03","1,179.00","717.70","1,69,48,151","13,27,09,05,837.25","3,58,878"
"03-Jan-2025","EQ","768.00","800.60","761.45","765.05","789.00","790.40","786.86","1,179.00","717.70","2,47,73,025","19,49,27,97,930.80","4,57,866"
"02-Jan-2025","EQ","759.30","767.35","749.35","749.25","764.85","765.05","757.34","1,179.00","717.70","1,52,94,572","11,58,31,98,011.40","3,06,615"
"01-Jan-2025","EQ","740.45","751.10","736.00","740.15","749.85","749.25","744.36","1,179.00","717.70","77,92,251","5,80,02,28,118.15","1,70,318"
